WIDTH (in.),HEIGHT (in.),area (sq.in.),AREA (sq.ft.),COST ($)
18,18,324,2.25,
18,20,360,2.5,
18,24,432,3,365
18,30,540,3.75,388.25
18,36,648,4.5,411.5
18,42,756,5.25,434.75
18,48,864,6,458
18,54,972,6.75,481.25
18,60,1080,7.5,504.5
18,66,1188,8.25,527.75
18,72,1296,9,551
18,78,1404,9.75,574.25
18,84,1512,10.5,597.5
20,18,360,2.5,
20,20,400,2.777777778,
20,24,480,3.333333333,378.67
20,30,600,4.166666667,404.6
20,36,720,5,430.54
20,42,840,5.833333333,456.48
20,48,960,6.666666667,482.42
20,54,1080,7.5,508.35
20,60,1200,8.333333333,534.29
20,66,1320,9.166666667,560.23
20,72,1440,10,586.17
20,78,1560,10.83333333,612.1
20,84,1680,11.66666667,638.04
24,18,432,3,
24,20,480,3.333333333,
24,24,576,4,392.33
24,30,720,5,420.96
24,36,864,6,449.58
24,42,1008,7,478.21
24,48,1152,8,506.83
24,54,1296,9,535.46
24,60,1440,10,564.08
24,66,1584,11,592.71
24,72,1728,12,621.33
24,78,1872,13,649.96
24,84,2016,14,678.58
28,18,504,3.5,
28,20,560,3.888888889,
28,24,672,4.666666667,406
28,30,840,5.833333333,437.31
28,36,1008,7,468.63
28,42,1176,8.166666667,499.94
28,48,1344,9.333333333,531.25
28,54,1512,10.5,562.56
28,60,1680,11.66666667,593.88
28,66,1848,12.83333333,625.19
28,72,2016,14,656.5
28,78,2184,15.16666667,687.81
28,84,2352,16.33333333,719.13
30,18,540,3.75,
30,20,600,4.166666667,
30,24,720,5,419.67
30,30,900,6.25,453.67
30,36,1080,7.5,487.67
30,42,1260,8.75,521.67
30,48,1440,10,555.67
30,54,1620,11.25,589.67
30,60,1800,12.5,623.67
30,66,1980,13.75,657.67
30,72,2160,15,691.67
30,78,2340,16.25,
30,84,2520,17.5,
32,18,576,4,
32,20,640,4.444444444,
32,24,768,5.333333333,433.33
32,30,960,6.666666667,470.02
32,36,1152,8,506.71
32,42,1344,9.333333333,543.4
32,48,1536,10.66666667,580.08
32,54,1728,12,616.77
32,60,1920,13.33333333,653.46
32,66,2112,14.66666667,690.15
32,72,2304,16,726.83
32,78,2496,17.33333333,
32,84,2688,18.66666667,
36,18,648,4.5,
36,20,720,5,
36,24,864,6,447
36,30,1080,7.5,486.38
36,36,1296,9,525.75
36,42,1512,10.5,565.75
36,48,1728,12,604.5
36,54,1944,13.5,643.88
36,60,2160,15,656
36,66,2376,16.5,722.63
36,72,2592,18,762
36,78,2808,19.5,
36,84,3024,21,
42,18,756,5.25,
42,20,840,5.833333333,
42,24,1008,7,
42,30,1260,8.75,
42,36,1512,10.5,
42,42,1764,12.25,
42,48,2016,14,
42,54,2268,15.75,
42,60,2520,17.5,
42,66,2772,19.25,
42,72,3024,21,
42,78,3276,22.75,
42,84,3528,24.5,
48,18,864,6,
48,20,960,6.666666667,
48,24,1152,8,
48,30,1440,10,
48,36,1728,12,
48,42,2016,14,
48,48,2304,16,
48,54,2592,18,
48,60,2880,20,
48,66,3168,22,
48,72,3456,24,
48,78,3744,26,
48,84,4032,28,
54,18,972,6.75,
54,20,1080,7.5,
54,24,1296,9,
54,30,1620,11.25,
54,36,1944,13.5,
54,42,2268,15.75,
54,48,2592,18,
54,54,2916,20.25,
54,60,3240,22.5,
54,66,3564,24.75,
54,72,3888,27,
54,78,4212,29.25,
54,84,4536,31.5,
60,18,1080,7.5,
60,20,1200,8.333333333,
60,24,1440,10,
60,30,1800,12.5,
60,36,2160,15,
60,42,2520,17.5,
60,48,2880,20,
60,54,3240,22.5,
60,60,3600,25,
60,66,3960,27.5,
60,72,4320,30,
60,78,4680,32.5,
60,84,5040,35,
72,18,1296,9,
72,20,1440,10,
72,24,1728,12,
72,30,2160,15,
72,36,2592,18,
72,42,3024,21,
72,48,3456,24,
72,54,3888,27,
72,60,4320,30,
72,66,4752,33,
72,72,5184,36,
72,78,5616,39,
72,84,6048,42,
